"Timestamp","uid","q2 time","q3 name","q4 target","q5 info","q6 state","Interface version"
"2021/11/07 7:45:13 AM CST","Windows-Chrome-508534860464936","1636292713352","mousedown","div.sudoku-answer.nk1","{""which"":1,""pageX"":684,""pageY"":319}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1635978327815&elapsed=132305370&currFocus=8&size=2","A"
"2021/11/07 7:45:18 AM CST","Windows-Chrome-508534860464936","1636292718337","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:21""}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1635978327815&elapsed=132321328&currFocus=4&size=2","A"
"2021/11/07 7:45:19 AM CST","Windows-Chrome-508534860464936","1636292718730","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:21""}","#puzzle=0000023040010000&answer=0000100000000000&work=&seed=1&gentime=1635978327815&elapsed=132321721&currFocus=4&size=2","A"
"2021/11/07 7:45:19 AM CST","Windows-Chrome-508534860464936","1636292718727","mousedown","div#sn4.sudoku-answer","{""which"":1,""pageX"":881,""pageY"":391}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1635978327815&elapsed=132321328&currFocus=4&size=2","A"
"2021/11/07 7:45:25 AM CST","Windows-Chrome-508534860464936","1636292724550","mousedown","div.sudoku-answer.nk4","{""which"":1,""pageX"":687,""pageY"":441}","#puzzle=0000023040010000&answer=0000100000000000&work=&seed=1&gentime=1635978327815&elapsed=132321721&currFocus=4&size=2","A"
"2021/11/07 7:45:25 AM CST","Windows-Chrome-508534860464936","1636292725365","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:28""}","#puzzle=0000023040010000&answer=0000100000000000&work=&seed=1&gentime=1635978327815&elapsed=132328356&currFocus=3&size=2","A"
"2021/11/07 7:45:26 AM CST","Windows-Chrome-508534860464936","1636292725657","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:28""}","#puzzle=0000023040010000&answer=0000100000000000&work=&seed=1&gentime=1635978327815&elapsed=132328649&currFocus=7&size=2","A"
"2021/11/07 7:45:26 AM CST","Windows-Chrome-508534860464936","1636292725936","mousedown","div#sn7.sudoku-answer","{""which"":1,""pageX"":1040,""pageY"":392}","#puzzle=0000023040010000&answer=0000100000000000&work=&seed=1&gentime=1635978327815&elapsed=132328649&currFocus=7&size=2","A"
"2021/11/07 7:45:26 AM CST","Windows-Chrome-508534860464936","1636292725939","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:28""}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132328930&currFocus=7&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292731465","mousedown","div.sudoku-answer.nk2","{""which"":1,""pageX"":687,""pageY"":367}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132328930&currFocus=7&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292731790","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:34""}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132334780&currFocus=5&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292731769","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:34""}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132334759&currFocus=4&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292731810","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:34""}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132334801&currFocus=6&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292731839","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:34""}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132334829&currFocus=7&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292732172","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:35""}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132335163&currFocus=3&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292732472","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:35""}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132335463&currFocus=3&size=2","A"
"2021/11/07 7:45:32 AM CST","Windows-Chrome-508534860464936","1636292732469","mousedown","div#sn3.sudoku-answer","{""which"":1,""pageX"":1044,""pageY"":345}","#puzzle=0000023040010000&answer=0000100400000000&work=&seed=1&gentime=1635978327815&elapsed=132335163&currFocus=3&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292735556","mousedown","div.sudoku-answer.nk3","{""which"":1,""pageX"":688,""pageY"":401}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132335463&currFocus=3&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292735900","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:38""}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132338891&currFocus=8&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292736018","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:39""}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132339009&currFocus=9&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292736027","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:39""}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132339017&currFocus=13&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292736067","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:39""}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132339058&currFocus=14&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292736102","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:39""}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132339093&currFocus=15&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292736438","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:39""}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132339430&currFocus=15&size=2","A"
"2021/11/07 7:45:36 AM CST","Windows-Chrome-508534860464936","1636292736436","mousedown","div#sn15.sudoku-answer","{""which"":1,""pageX"":1030,""pageY"":488}","#puzzle=0000023040010000&answer=0002100400000000&work=&seed=1&gentime=1635978327815&elapsed=132339093&currFocus=15&size=2","A"
"2021/11/07 7:45:37 AM CST","Windows-Chrome-508534860464936","1636292736957","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:39""}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132339948&currFocus=14&size=2","A"
"2021/11/07 7:45:37 AM CST","Windows-Chrome-508534860464936","1636292737262","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:40""}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132340253&currFocus=13&size=2","A"
"2021/11/07 7:45:37 AM CST","Windows-Chrome-508534860464936","1636292737338","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:40""}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132340329&currFocus=12&size=2","A"
"2021/11/07 7:45:40 AM CST","Windows-Chrome-508534860464936","1636292739634","mousedown","div.sudoku-answer.nk2","{""which"":1,""pageX"":685,""pageY"":368}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132340329&currFocus=12&size=2","A"
"2021/11/07 7:45:40 AM CST","Windows-Chrome-508534860464936","1636292740185","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:43""}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132343176&currFocus=8&size=2","A"
"2021/11/07 7:45:40 AM CST","Windows-Chrome-508534860464936","1636292740226","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:43""}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132343218&currFocus=9&size=2","A"
"2021/11/07 7:45:40 AM CST","Windows-Chrome-508534860464936","1636292740421","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:43""}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132343412&currFocus=10&size=2","A"
"2021/11/07 7:45:41 AM CST","Windows-Chrome-508534860464936","1636292740898","mousedown","div#sn10.sudoku-answer","{""which"":1,""pageX"":982,""pageY"":443}","#puzzle=0000023040010000&answer=0002100400000003&work=&seed=1&gentime=1635978327815&elapsed=132343412&currFocus=10&size=2","A"
"2021/11/07 7:45:41 AM CST","Windows-Chrome-508534860464936","1636292740900","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:43""}","#puzzle=0000023040010000&answer=0002100400200003&work=&seed=1&gentime=1635978327815&elapsed=132343892&currFocus=10&size=2","A"
"2021/11/07 7:45:42 AM CST","Windows-Chrome-508534860464936","1636292741928","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:44""}","#puzzle=0000023040010000&answer=0002100400200003&work=&seed=1&gentime=1635978327815&elapsed=132344919&currFocus=9&size=2","A"
"2021/11/07 7:45:42 AM CST","Windows-Chrome-508534860464936","1636292741977","current_board_status","document","{""boardStates"":""#ok"",""timePassed"":""45:44""}","#puzzle=0000023040010000&answer=0002100400200003&work=&seed=1&gentime=1635978327815&elapsed=132344968&currFocus=8&size=2","A"
